model,records,component_weighted_balanced_accuracy,balanced_accuracy,accuracy,macro_f1,benign_recall,pathogenic_recall,brier_score,selected_v9_1_minus_model_component_weighted_ba,prediction_disagreements,reference_wrong_v9_1_correct,reference_correct_v9_1_wrong,both_correct,both_wrong,same_records,comparison_warning
selected_v9_1,1000,0.8938749515640781,0.8838141660722305,0.875,0.8232763434885815,0.8697788697788698,0.8978494623655914,0.07362984090866574,0.0,0,0,0,875,125,True,V8 was evaluated while sealed; V9/V9.1 used opened labels.
original_v9,1000,0.8735399970482861,0.8580090354283902,0.86,0.8017659819097298,0.8611793611793612,0.8548387096774194,0.06871947187020888,0.020334954515792036,69,42,27,833,98,True,V8 was evaluated while sealed; V9/V9.1 used opened labels.
frozen_v8,1000,0.882249362672237,0.8712121212121212,0.895,0.8403709475124472,0.9090909090909091,0.8333333333333334,0.06332370979984081,0.011625588891841176,74,27,47,848,78,True,V8 was evaluated while sealed; V9/V9.1 used opened labels.
frozen_v7,1000,0.8706289667544928,0.8666878021716731,0.864,0.8080180688876342,0.8624078624078624,0.8709677419354839,0.06367925480300514,0.023245984809585396,103,57,46,818,79,True,V8 was evaluated while sealed; V9/V9.1 used opened labels.
consequence_only,1000,0.8428603087085383,0.8349779398166495,0.809,0.7508839706225683,0.7936117936117936,0.8763440860215054,0.191,0.051014642855539805,106,86,20,789,105,True,V8 was evaluated while sealed; V9/V9.1 used opened labels.
majority,1000,0.5,0.5,0.814,0.4487320837927233,1.0,0.0,0.186,0.39387495156407815,273,167,106,708,19,True,V8 was evaluated while sealed; V9/V9.1 used opened labels.
