candidate,bin,lower,upper,records,mean_probability,observed_pathogenic_fraction,evidence_generation
extra_trees,3,0.2,0.30000000000000004,37,0.25405713886086373,0.16216216216216217,authenticated_family_trial
extra_trees,4,0.30000000000000004,0.4,31,0.3522965152771768,0.2903225806451613,authenticated_family_trial
extra_trees,5,0.4,0.5,49,0.4543198809725965,0.20408163265306123,authenticated_family_trial
extra_trees,6,0.5,0.6000000000000001,51,0.5411321149341255,0.23529411764705882,authenticated_family_trial
extra_trees,7,0.6000000000000001,0.7000000000000001,27,0.6426214819747779,0.4444444444444444,authenticated_family_trial
extra_trees,8,0.7000000000000001,0.8,32,0.7582685161973752,0.625,authenticated_family_trial
extra_trees,9,0.8,0.9,16,0.8527473337779291,0.6875,authenticated_family_trial
extra_trees,10,0.9,1.0,103,0.947608931631194,0.970873786407767,authenticated_family_trial
linear_svm,1,0.0,0.1,677,0.01979557120254865,0.0206794682422452,authenticated_family_trial
linear_svm,2,0.1,0.2,64,0.1461209402973182,0.1875,authenticated_family_trial
linear_svm,3,0.2,0.30000000000000004,37,0.2414827785770341,0.24324324324324326,authenticated_family_trial
linear_svm,4,0.30000000000000004,0.4,17,0.3524979960103864,0.29411764705882354,authenticated_family_trial
linear_svm,5,0.4,0.5,30,0.4412771421284666,0.4,authenticated_family_trial
linear_svm,6,0.5,0.6000000000000001,20,0.5544596895058547,0.4,authenticated_family_trial
linear_svm,7,0.6000000000000001,0.7000000000000001,23,0.6434922598510321,0.391304347826087,authenticated_family_trial
linear_svm,8,0.7000000000000001,0.8,13,0.7591166360920697,0.6153846153846154,authenticated_family_trial
linear_svm,9,0.8,0.9,23,0.8564481108078528,0.782608695652174,authenticated_family_trial
linear_svm,10,0.9,1.0,96,0.9349665739309488,0.9479166666666666,authenticated_family_trial
nested_family_selection_procedure,1,0.0,0.1,407,0.03503930386392498,0.004914004914004914,fully_nested_selection_procedure
nested_family_selection_procedure,2,0.1,0.2,240,0.1469990210074279,0.016666666666666666,fully_nested_selection_procedure
nested_family_selection_procedure,3,0.2,0.30000000000000004,26,0.2587716775420778,0.11538461538461539,fully_nested_selection_procedure
nested_family_selection_procedure,4,0.30000000000000004,0.4,29,0.35570407514526486,0.27586206896551724,fully_nested_selection_procedure
nested_family_selection_procedure,5,0.4,0.5,57,0.45329586540226585,0.17543859649122806,fully_nested_selection_procedure
nested_family_selection_procedure,6,0.5,0.6000000000000001,56,0.5411763592526456,0.25,fully_nested_selection_procedure
nested_family_selection_procedure,7,0.6000000000000001,0.7000000000000001,25,0.6427180570770658,0.4,fully_nested_selection_procedure
nested_family_selection_procedure,8,0.7000000000000001,0.8,38,0.7605310147078228,0.6052631578947368,fully_nested_selection_procedure
nested_family_selection_procedure,9,0.8,0.9,18,0.8501875913676537,0.6111111111111112,fully_nested_selection_procedure
nested_family_selection_procedure,10,0.9,1.0,104,0.949289438844751,0.9711538461538461,fully_nested_selection_procedure
