candidate,bin,lower,upper,records,mean_probability,observed_pathogenic_fraction
elastic_net_logistic,1,0.0,0.1,648,0.025079831491123056,0.012345679012345678
elastic_net_logistic,2,0.1,0.2,73,0.15980487708853802,0.2465753424657534
elastic_net_logistic,3,0.2,0.30000000000000004,57,0.2384672820974905,0.22807017543859648
elastic_net_logistic,4,0.30000000000000004,0.4,36,0.34935919835209495,0.3888888888888889
elastic_net_logistic,5,0.4,0.5,13,0.4546429021120554,0.15384615384615385
elastic_net_logistic,6,0.5,0.6000000000000001,24,0.5562758906069912,0.3333333333333333
elastic_net_logistic,7,0.6000000000000001,0.7000000000000001,17,0.6531464275373279,0.4117647058823529
elastic_net_logistic,8,0.7000000000000001,0.8,11,0.7494092444148289,0.6363636363636364
elastic_net_logistic,9,0.8,0.9,60,0.8440917361864707,0.8666666666666667
elastic_net_logistic,10,0.9,1.0,61,0.9452769762304178,0.9344262295081968
hist_gradient_boosting,1,0.0,0.1,657,0.015460973830522244,0.0167427701674277
hist_gradient_boosting,2,0.1,0.2,62,0.15256378927022107,0.22580645161290322
hist_gradient_boosting,3,0.2,0.30000000000000004,44,0.24707190708630977,0.2727272727272727
hist_gradient_boosting,4,0.30000000000000004,0.4,34,0.35664733872797344,0.35294117647058826
hist_gradient_boosting,5,0.4,0.5,32,0.45577982403554373,0.375
hist_gradient_boosting,6,0.5,0.6000000000000001,17,0.5467308777024067,0.29411764705882354
hist_gradient_boosting,7,0.6000000000000001,0.7000000000000001,34,0.6460532198402936,0.35294117647058826
hist_gradient_boosting,8,0.7000000000000001,0.8,27,0.7513344320395485,0.7037037037037037
hist_gradient_boosting,9,0.8,0.9,23,0.853397688523362,0.9565217391304348
hist_gradient_boosting,10,0.9,1.0,70,0.9423266296271545,0.9571428571428572
extra_trees,1,0.0,0.1,634,0.010428552964644842,0.007886435331230283
extra_trees,2,0.1,0.2,24,0.1491203110741935,0.25
extra_trees,3,0.2,0.30000000000000004,101,0.25033712222788357,0.19801980198019803
extra_trees,4,0.30000000000000004,0.4,53,0.3513354424873769,0.33962264150943394
extra_trees,5,0.4,0.5,36,0.442775277829065,0.3333333333333333
extra_trees,6,0.5,0.6000000000000001,18,0.5590939803078611,0.3333333333333333
extra_trees,7,0.6000000000000001,0.7000000000000001,14,0.6506709350756744,0.7142857142857143
extra_trees,8,0.7000000000000001,0.8,11,0.7382391175392885,0.6363636363636364
extra_trees,9,0.8,0.9,15,0.8751322985685487,0.8
extra_trees,10,0.9,1.0,94,0.941494340608019,0.9574468085106383
consequence_only,1,0.0,0.1,669,0.0,0.0343796711509716
consequence_only,2,0.1,0.2,0,,
consequence_only,3,0.2,0.30000000000000004,0,,
consequence_only,4,0.30000000000000004,0.4,0,,
consequence_only,5,0.4,0.5,0,,
consequence_only,6,0.5,0.6000000000000001,0,,
consequence_only,7,0.6000000000000001,0.7000000000000001,0,,
consequence_only,8,0.7000000000000001,0.8,0,,
consequence_only,9,0.8,0.9,0,,
consequence_only,10,0.9,1.0,331,1.0,0.49244712990936557
majority,1,0.0,0.1,1000,0.0,0.186
majority,2,0.1,0.2,0,,
majority,3,0.2,0.30000000000000004,0,,
majority,4,0.30000000000000004,0.4,0,,
majority,5,0.4,0.5,0,,
majority,6,0.5,0.6000000000000001,0,,
majority,7,0.6000000000000001,0.7000000000000001,0,,
majority,8,0.7000000000000001,0.8,0,,
majority,9,0.8,0.9,0,,
majority,10,0.9,1.0,0,,
frozen_v8_reference,1,0.0,0.1,630,0.043525081801672694,0.011111111111111112
frozen_v8_reference,2,0.1,0.2,45,0.15438007827047415,0.13333333333333333
frozen_v8_reference,3,0.2,0.30000000000000004,89,0.2437595408206788,0.19101123595505617
frozen_v8_reference,4,0.30000000000000004,0.4,40,0.35350829902788633,0.3
frozen_v8_reference,5,0.4,0.5,34,0.4535876965375886,0.4411764705882353
frozen_v8_reference,6,0.5,0.6000000000000001,28,0.5380300307080745,0.35714285714285715
frozen_v8_reference,7,0.6000000000000001,0.7000000000000001,16,0.6659768330388987,0.75
frozen_v8_reference,8,0.7000000000000001,0.8,9,0.7374883126776866,0.4444444444444444
frozen_v8_reference,9,0.8,0.9,8,0.8474884732218391,0.625
frozen_v8_reference,10,0.9,1.0,101,0.964246042935147,0.9702970297029703
