candidate,records,component_weighted_balanced_accuracy,balanced_accuracy,accuracy,macro_f1,weighted_f1,benign_recall,pathogenic_recall,roc_auc,average_precision,brier_score,log_loss
elastic_net_logistic,1000,0.8735399970482861,0.8580090354283902,0.86,0.8017659819097298,0.8692400840512235,0.8611793611793612,0.8548387096774194,0.9396383186705767,0.7980486508106361,0.06871947187020888,0.23679925438408173
hist_gradient_boosting,1000,0.861733884820777,0.8614633695278857,0.869,0.8112911288103706,0.8768267004325898,0.8734643734643734,0.8494623655913979,0.9429473461731526,0.8291752760450843,0.07068985557740504,0.22507596581068076
extra_trees,1000,0.8569785000028892,0.8498718660008983,0.84,0.7813239739994204,0.852460159961513,0.8341523341523341,0.8655913978494624,0.9426171039074265,0.8235104488769006,0.06379147309831473,0.21174689280748588
consequence_only,1000,0.8428603087085383,0.8349779398166495,0.809,0.7508839706225683,0.8264468411174485,0.7936117936117936,0.8763440860215054,0.8349779398166496,0.4545531299743365,0.191,2.6387633255667486
majority,1000,0.5,0.5,0.814,0.4487320837927233,0.7305358324145536,1.0,0.0,0.5,0.186,0.186,2.5696857777817623
frozen_v8_reference,1000,0.882249362672237,0.8712121212121212,0.895,0.8403709475124472,0.8990154688153243,0.9090909090909091,0.8333333333333334,0.9459360386779743,0.8389465335113344,0.06332370979984081,0.2189348816250901
